PRODUTOS,Cod,CUSTO
"G-Rollz | 4x Multifruit Flavored Wraps (15 Pack Display, 60 Blunts)",PR1516E-DIS,"59,84"
"G-Rollz | 4x Blueberry Flavored Wraps (15 Pack Display, 60 Blunts)",PR1516F-DIS,"59,84"
"G-Rollz | 4x Orange Flavored Wraps (15 Pack Display, 60 Blunts)",DK1516K-DIS,"59,84"
"G-Rollz | 4x Honey Flavored Wraps (15 Pack Display, 60 Blunts)",DK1516J-DIS,"59,84"
"G-Rollz | 4x Russian Cream Flavored Wraps (15 Pack Display, 60 Blunts)",GR1516G-DIS,"59,84"
G-ROLLZ | Cheech & Chong™ -WATERMELON SUNRISE 2 BLUNT CONES / TUBE 12 Tubes / Display,CC1532A-DIS,"114,51"
G-ROLLZ | Cheech & Chong™ -Strawberry Cheesecake 2 BLUNT CONES / TUBE 12 Tubes / Display- Papel para enrolar cigarro cada caixa contendo 12 embalagens com 2 uns,CC1532C-DIS,"114,51"
G-ROLLZ | Cheech & Chong™ -TROPICANA COOKIES  2 BLUNT CONES / TUBE 12 Tubes / Display,CC1532D-DIS,"114,51"
G-ROLLZ | Cheech & Chong™ -BLUEBERRY COOKIES 2 BLUNT CONES / TUBE 12 Tubes / Display,CC1532B-DIS,"111,74"
G-ROLLZ | Cheech & Chong™ -GREEN PUNCH  2 BLUNT CONES / TUBE 12 Tubes / Display,CC1532F-DIS,"114,51"
G-ROLLZ | Cheech & Chong™ - DUCH BLEND 2 BLUNT CONES / TUBE 12 Tubes / Display,CC1532E-DIS,"114,51"
